id,show_id,type,title,director,year_film,rating,duration,listed_in,description
2735,60000901,Movie,HOW THE GRINCH STOLE CHRISTMAS,Ron Howard,2000,PG,105 min,"Children & Family Movies, Comedies",The Grinch decides to rob Whoville of Christmas – but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart.
2736,80158769,Movie,HOW TO STAGE A COUP,Cal Seville,2017,TV-14,47 min,Documentaries,"Explore how Caesar, Napoleon, Mussolini, Hitler and modern-day dictators consolidated their considerable power through bold and brazen coups."
2737,80158579,Movie,JACKIE: A TALE OF TWO SISTERS,Edward Cotterill,2017,TV-PG,44 min,Documentaries,"Rachael Stirling narrates this multifaceted portrait of former First Lady Jacqueline Kennedy Onassis and her younger sister, Lee Radziwill."
2739,80158920,Movie,LENS,Jayaprakash Radhakrishnan,2015,TV-MA,109 min,"Dramas, Independent Movies, International Movies","Addicted to webcams and voyeurism, a married man gets more than he bargained for when an online stranger tries to force him to watch a suicide."
2740,80107736,Movie,LITTLE BOXES,Rob Meyer,2016,TV-14,89 min,"Comedies, Dramas, Independent Movies","After moving from New York City to a small town in Washington state, an interracial couple and their preteen son struggle to adjust to their new life."
2741,80148967,Movie,LOVE.COM,Anita Barbosa,2017,TV-MA,92 min,"Comedies, International Movies, Romantic Movies","When a fashion blogger falls for a video game vlogger, their romance goes viral. But separating their virtual life from reality gets complicated."
2742,70057994,Movie,MAYA MEMSAAB,Ketan Mehta,1993,NR,122 min,"Dramas, International Movies, Music & Musicals","A beautiful, wealthy woman’s insatiable appetite for romance leads to tragedy and a police investigation."
2743,80186862,Movie,MICHAEL LOST AND FOUND,Daniel Wilner,2017,TV-PG,19 min,"Documentaries, International Movies, LGBTQ Movies","Benjie Nycum travels to Wyoming to visit his ex-lover, Michael Glatze, a former gay activist who now lives with his wife and works as a church pastor."
2746,80156937,Movie,OH DARLING YEH HAI INDIA,Ketan Mehta,1995,TV-14,154 min,"Action & Adventure, Comedies, International Movies",A penniless actor new to Mumbai and a beautiful woman he meets one fateful night try to stop a gangster from replacing India's president with a twin.
2749,80158546,Movie,PRINCE,Lekh Tandon,1969,TV-14,152 min,"Dramas, International Movies, Romantic Movies","To better himself, a spoiled prince temporarily assumes a commoner’s identity. But he soon learns his palace has been gifted to his father’s new wife."
2750,80156936,Movie,QILA,Umesh Mehra,1998,TV-14,161 min,"Dramas, International Movies","When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead."
2752,80121843,Movie,SMOKE & MIRRORS,Alberto Rodríguez,2016,TV-14,123 min,"Dramas, International Movies, Thrillers","Betrayed by the Spanish government he once served, a former secret agent plots to steal millions of dollars embezzled by a corrupt public official."
2756,80158581,Movie,THE MITFORDS: A TALE OF TWO SISTERS,Edward Cotterill,2017,TV-PG,44 min,Documentaries,Jessica and Diana were sisters who were separated by just a few years in age. But their political ideologies couldn't have been any farther apart.
2757,60023237,Movie,Y TU MAMÁ TAMBIÉN,Alfonso Cuarón,2001,R,106 min,"Dramas, Independent Movies, International Movies","When rich teens Tenoch and Julio meet the alluring, older Luisa, they try to impress her with stories of a road trip, then convince her to join them."
2760,80104041,Movie,BLACK MAN WHITE SKIN,Jose Manuel Colón,2015,TV-14,79 min,"Documentaries, International Movies",This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain.
2763,80093213,Movie,SPY TIME,Javier Ruiz Caldera,2015,TV-MA,93 min,"Action & Adventure, Comedies, International Movies","When his girlfriend dumps him for being a bore, a working stiff discovers that his father is a secret agent and a dangerous thug is targeting them."
2764,80099305,Movie,THE FEAR OF 13,David Sington,2015,TV-MA,95 min,"Documentaries, International Movies","After 20 years on Death Row, self-educated inmate Nick petitions the court to be executed, then tells his twisting, turning tale of despair and hope."
2765,80103623,Movie,THE HEROES OF EVIL,Zoe Berriatúa,2015,NR,99 min,"Dramas, International Movies","Three teenage misfits find camaraderie in sex, violence and petty crime. But what starts as a lark soon threatens to damage them beyond repair."
2766,80032640,Movie,THE PERFECT DICTATORSHIP,Luis Estrada,2014,NR,143 min,"Comedies, Dramas, International Movies","After accepting a colossal bribe, a powerful TV conglomerate gins up fake news stories to enhance the image of a notoriously corrupt politician."
2767,81098589,Movie,AZIZ ANSARI: RIGHT NOW,Spike Jonze,2019,TV-MA,65 min,Stand-Up Comedy,"In a comedy special directed by Spike Jonze, Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate."
2768,80221446,Movie,MARY POPPINS RETURNS,Rob Marshall,2018,PG,131 min,"Children & Family Movies, Music & Musicals","In 1930s London, Michael Banks and his three children get some help turning their topsy-turvy world around when his magical childhood nanny reappears."
2770,80991107,TV Show,MR. SUNSHINE,Lee Eung-bok,2018,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.
2771,80048977,Movie,THE INVITATION,Karyn Kusama,2015,NR,100 min,"Horror Movies, Independent Movies, Thrillers","A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions."
2772,70189282,Movie,THE IRON LADY,Phyllida Lloyd,2011,PG-13,105 min,"Dramas, International Movies","Margaret Thatcher, the first female prime minister of Britain, navigates a career destined to change the rules of leadership and politics."
2773,80119249,Movie,1 MILE TO YOU,Leif Tilden,2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach."
2777,80117747,Movie,TAKE ME,Pat Healy,2017,TV-MA,84 min,"Comedies, Independent Movies","With his simulated kidnapping business flagging, an entrepreneur jumps at a weekend abduction opportunity – only to find the job isn't what it seems."
2780,80004286,Movie,"MONSTER HIGH: SCARIS, CITY OF FRIGHTS","Dustin McKenzie, Andrew Duncan, Audu Paden",2013,TV-G,60 min,Children & Family Movies,"When Clawdeen gets a chance to study with a top fashion designer, she and her pals hop on a plane to Scaris, France, the city where screams come true."
2781,81039323,Movie,SICILIAN GHOST STORY,"Fabio Grassadonia, Antonio Piazza",2017,TV-MA,119 min,"Dramas, International Movies, Thrillers","When officials are slow to investigate a mysterious disappearance, a teen girl searches the dark woods on the outskirts of town for the boy she loves."
2783,80192064,Movie,LUCIANO MELLERA: INFANTILOIDE,"Raúl Campos, Jan Suter",2018,TV-14,66 min,Stand-Up Comedy,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.
2784,80176715,Movie,THE LEGACY OF A WHITETAIL DEER HUNTER,Jody Hill,2018,TV-14,83 min,"Action & Adventure, Comedies, Dramas",A star of hunting videos strives to bond with his 12-year-old son on a wilderness trip but learns familial connections can't be forced.
2785,80168029,Movie,THE SKIN OF THE WOLF,Samu Fuentes,2018,TV-14,110 min,"Dramas, Independent Movies, International Movies",An animal trapper living in an abandoned mountain town in northern Spain seeks to resolve his loneliness by securing a wife.
2786,80245121,Movie,WHITE FANG,Alexandre Espigares,2018,TV-PG,88 min,"Children & Family Movies, Dramas",A loyal wolfdog's curiosity leads him on the adventure of a lifetime while serving a series of three distinctly different masters.
2787,80177339,Movie,MOTU PATLU: KING OF KINGS,Suhas Kadav,2016,TV-Y7-FV,109 min,"Children & Family Movies, Comedies","Motu and Patlu want to help a circus lion get back to the jungle. On the way, the three become caught up in an exciting adventure in the forest."
2788,80170277,Movie,SPEECH & DEBATE,Dan Harris,2017,PG-13,96 min,"Comedies, Dramas, Independent Movies","Fed up with the hypocrisy of the adults around them, three creative high school misfits revive an old debate club as a way to fight back."
2789,80097355,Movie,BRAHMAN NAMAN,Qaushiq Mukherjee,2016,TV-MA,96 min,"Comedies, Independent Movies, International Movies",This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything – except how to talk to women.
2791,80223153,Movie,"RIVER, EL MÁS GRANDE SIEMPRE","Marcelo Altmark, Mariano Mucci, Luis A. Scalella",2019,TV-G,105 min,"Documentaries, International Movies, Sports Movies","Experience the highlights of Argentine soccer team Club Atlético River Plate's long history, from its early development to its major victories."
2793,70122316,Movie,BLUE VALENTINE,Derek Cianfrance,2010,R,112 min,"Dramas, Independent Movies, Romantic Movies","As Cindy and Dean muddle through their languishing marriage, they hearken back to the golden days when life was filled with possibility and romance."
2796,80102160,TV Show,STORIES BY RABINDRANATH TAGORE,Anurag Basu,2015,TV-14,1 Season,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
2797,80076160,Movie,CRISTINA,Michèle Ohayon,2016,NR,40 min,Documentaries,"In this short documentary, 37-year-old Cristina valiantly battles cancer while doing all she can to encourage others to live in the moment."
2798,80099089,Movie,SKIPTRACE,Renny Harlin,2016,PG-13,107 min,"Action & Adventure, Comedies","To capture a crime lord who killed his partner and kidnapped his partner's daughter, a Hong Kong detective teams with a smart aleck American gambler."
2799,70303706,Movie,SOMMORE: CHANDELIER STATUS,Kevin Layne,2013,NR,77 min,Stand-Up Comedy,"Luminous funnywoman Sommore wows Miami with her unique take on body modification, Internet sex, the world of celebrities and more."
2800,80195243,Movie,VEGAS BABY,Amanda Micheli,2016,TV-14,78 min,Documentaries,"A Las Vegas doctor's controversial online contest sees anxious entrants vie for free in vitro fertilization, a procedure rarely covered by insurance."
2802,81039161,Movie,RAMEN SHOP,Eric Khoo,2018,TV-PG,90 min,"Dramas, International Movies",Ramen chef Masato travels to Singapore to retrace his mother's life and finds a deeper understanding of his family history and culture.
2803,80240537,Movie,THE RED SEA DIVING RESORT,Gideon Raff,2019,TV-MA,130 min,"Dramas, Thrillers",Undercover agents open up a fake hotel to real tourists as a cover to help smuggle thousands of Ethiopian refugees to safety. Inspired by true events.
2804,80997870,Movie,FLYING GUILLOTINE 2,"Kang Cheng, Shan Hua",1978,TV-MA,88 min,"Action & Adventure, International Movies","The emperor's reign of terror expands. Heroic outlaw Ma Teng joins a squad of female rebels, whose leader is torn between family loyalties."
2806,60001377,Movie,THE FIVE VENOMS,Cheh Chang,1978,R,97 min,"Action & Adventure, Cult Movies, International Movies",A dying kung fu master sends his last student to track down five former pupils in order to learn which one of them has become evil.
2808,81151899,TV Show,7 (SEVEN),Nizar Shafi,2019,TV-14,1 Season,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
2809,81030976,Movie,ALL GOOD ONES GET AWAY,Víctor García,2019,TV-MA,83 min,"International Movies, Thrillers","When a mysterious figure blackmails an adulterous couple during a romantic getaway, their secret affair turns into a fight for survival."
2810,81017011,Movie,AMERICAN HANGMAN,Wilson Coneybeare,2019,TV-MA,99 min,Thrillers,"A judge’s kidnapping is streamed live on social media, as a vengeful loner puts him on trial for supposedly sending an innocent man to his death."
2811,80213715,Movie,WHITNEY CUMMINGS: CAN I TOUCH IT?,Marcus Raboy,2019,TV-MA,59 min,Stand-Up Comedy,"In her fourth stand-up special, Whitney Cummings returns to her hometown of Washington, D.C., and riffs on modern feminism, technology and more."
2812,80999990,Movie,HOLY MAN 2,Note Chern-Yim,2008,TV-14,92 min,"Comedies, Faith & Spirituality, International Movies","Former rap musician Joey Boy is now a monk who takes Father Teng's place at his rural temple, where a crisis develops involving a nearby stone quarry."
2813,80999991,Movie,HOLY MAN 3,Note Chern-Yim,2010,TV-14,102 min,"Comedies, Faith & Spirituality, International Movies","Two new monks, one of them a former rock music star seeking inner peace, join a temple plagued by thieves who are stealing its valuable holy relics."
2814,81000000,Movie,THE UNBORN CHILD,Poj Arnon,2011,TV-MA,93 min,"Horror Movies, International Movies","A couple and their young daughter are haunted by a paranormal, malicious presence – which is soon linked to a temple and a series of abortions."
2815,80162192,Movie,LOCO LOVE,"Fernando Sariñana, José Luis Gutiérrez",2017,TV-MA,103 min,"Dramas, Independent Movies, International Movies",A young man and woman fall in love but are threatened to be torn apart by the tensions between their Latino and Caucasian communities in Arizona.
2817,70074100,Movie,ALL THE BOYS LOVE MANDY LANE,Jonathan Levine,2006,R,91 min,Horror Movies,"During a weekend excursion to a secluded ranch, an unwelcome visitor begins picking off the randy admirers of teenage temptress Mandy Lane."
2818,70224969,Movie,FELIPE ESPARZA: THEY'RE NOT GOING TO LAUGH AT YOU,Scott L. Montoya,2012,NR,58 min,Stand-Up Comedy,"""Last Comic Standing"" winner Felipe Esparza runs riot in his first comedy special with his wry comments on life as a wild man from East Los Angeles."
