year_film,year_award,ceremony,category,nominee,title,win
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katharine Ross,Voyage of the Damned,TRUE
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Voyage of the Damned,FALSE
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marthe Keller,Marathon Man,FALSE
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Piper Laurie,Carrie,FALSE
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Bernadette Peters,Silent Movie,FALSE
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shelley Winters,"Next Stop, Greenwich Village",FALSE
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Laurence Olivier,Marathon Man,TRUE
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Marty Feldman,Silent Movie,FALSE
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ron Howard,"Shootist, The",FALSE
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,All The President's Men,FALSE
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Oskar Werner,Voyage of the Damned,FALSE
1976,1977,34,Best Director - Motion Picture,Sidney Lumet,Network,TRUE
1976,1977,34,Best Director - Motion Picture,Hal Ashby,Bound for Glory,FALSE
1976,1977,34,Best Director - Motion Picture,John G. Avildsen,Rocky,FALSE
1976,1977,34,Best Director - Motion Picture,Alan J. Pakula,All The President's Men,FALSE
1976,1977,34,Best Director - Motion Picture,John Schlesinger,Marathon Man,FALSE
1976,1977,34,Best Screenplay - Motion Picture,Paddy Chayefsky,Network,TRUE
1976,1977,34,Best Screenplay - Motion Picture,William Goldman,All The President's Men,FALSE
1976,1977,34,Best Screenplay - Motion Picture,William Goldman,Marathon Man,FALSE
1976,1977,34,Best Screenplay - Motion Picture,Sylvester Stallone,Rocky,FALSE
1976,1977,34,Best Screenplay - Motion Picture,Paul Schrader,Taxi Driver,FALSE
1976,1977,34,Best Screenplay - Motion Picture,David Butler,Voyage of the Damned,FALSE
1976,1977,34,Best Motion Picture - Foreign Language,Face to Face,"Sweden, Ingmar Bergman",TRUE
1976,1977,34,Best Motion Picture - Foreign Language,"Cousin, Cousine","France, Jean-Charles Tacchella",FALSE
1976,1977,34,Best Motion Picture - Foreign Language,Seven Beauties,"Italy, Lina Wertmüller",FALSE
1976,1977,34,Best Motion Picture - Foreign Language,"Slipper and the Rose - The Story of Cinderella, The","United Kingdom, Bryan Forbes",FALSE
1976,1977,34,Best Motion Picture - Foreign Language,Small Change,"France, François Truffaut",FALSE
1976,1977,34,Best Original Score - Motion Picture,"Paul Williams, Kenny Ascher","Star Is Born, A (1976)",TRUE
1976,1977,34,Best Original Score - Motion Picture,Paul Williams,Bugsy Malone,FALSE
1976,1977,34,Best Original Score - Motion Picture,Bill Conti,Rocky,FALSE
1976,1977,34,Best Original Score - Motion Picture,"Richard M. Sherman, Robert B. Sherman","Slipper and the Rose - The Story of Cinderella, The",FALSE
1976,1977,34,Best Original Score - Motion Picture,Lalo Schifrin,Voyage of the Damned,FALSE
1976,1977,34,Best Original Song - Motion Picture,"Evergreen , Barbra Streisand, Paul Williams","Star Is Born, A (1976)",TRUE
1976,1977,34,Best Original Song - Motion Picture,"I'd Like To Be You For a Day, Al Kasha, Joel Hirschhorn",Freaky Friday (1976),FALSE
1976,1977,34,Best Original Song - Motion Picture,"So Sad the Song, Michael Masser, Gerry Goffin",Pipe Dreams,FALSE
1976,1977,34,Best Original Song - Motion Picture,"Bugsy Malone, Paul Williams",Bugsy Malone,FALSE
1976,1977,34,Best Original Song - Motion Picture,"Car Wash, Norman Whitfield, Rose Royce",Car Wash,FALSE
1976,1977,34,Best Original Song - Motion Picture,"Hello and Goodbye, Alan Bergman, Marilyn Bergman, Elmer Bernstein",From Noon Till Three,FALSE
1976,1977,34,Best Television Series - Drama,"Rich Man, Poor Man",,TRUE
1976,1977,34,Best Television Series - Drama,Captains and the Kings,,FALSE
1976,1977,34,Best Television Series - Drama,Charlie's Angels,,FALSE
1976,1977,34,Best Television Series - Drama,Family,,FALSE
1976,1977,34,Best Television Series - Drama,Little House on the Prairie,,FALSE
1976,1977,34,Best Television Series - Musical or Comedy,Barney Miller,,TRUE
1976,1977,34,Best Television Series - Musical or Comedy,M*A*S*H (TV Show),,FALSE
1976,1977,34,Best Television Series - Musical or Comedy,"Carol Burnett Show, The",,FALSE
1976,1977,34,Best Television Series - Musical or Comedy,Donny and Marie,,FALSE
1976,1977,34,Best Television Series - Musical or Comedy,Happy Days,,FALSE
1976,1977,34,Best Television Series - Musical or Comedy,Laverne & Shirley,,FALSE
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Susan Blakely,"Rich Man, Poor Man",TRUE
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Angie Dickinson,Police Woman,FALSE
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Farrah Fawcett,Charlie's Angels,FALSE
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Kate Jackson,Charlie's Angels,FALSE
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Jean Marsh,Upstairs/Downstairs,FALSE
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Sada Thompson,Family,FALSE
1976,1977,34,Best Performance by an Actress In A Television Series - Drama,Lindsay Wagner,"Bionic Woman, The",FALSE
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Richard Jordan,Captains and the Kings,TRUE
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Lee Majors,"Six Million Dollar Man, The",FALSE
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Nick Nolte,"Rich Man, Poor Man",FALSE
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Telly Savalas,Kojak,FALSE
1976,1977,34,Best Performance by an Actor In A Television Series - Drama,Peter Strauss,"Rich Man, Poor Man",FALSE
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",TRUE
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary Tyler Moore,"Mary Tyler Moore Show, The",FALSE
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Bernadette Peters,All's Fair,FALSE
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Isabel Sanford,"Jeffersons, The",FALSE
1976,1977,34,Best Performance by an Actress in a Television Series - Musical or Comedy,Dinah Shore,Dinah!,FALSE
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Henry Winkler,Happy Days,TRUE
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael Constantine,Sirota's Court,FALSE
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Sammy Davis Jr.,Sammy & Company,FALSE
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Hal Linden,Barney Miller,FALSE
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Freddie Prinze,Chico and The Man,FALSE
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Randall,"Tony Randall Show, The",FALSE
1976,1977,34,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),FALSE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Josette Banzet,"Rich Man, Poor Man",TRUE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anne Meara,Rhoda,FALSE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sally Struthers,All In The Family,FALSE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Adrienne Barbeau,Maude,FALSE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Darleen Carr,Once an Eagle,FALSE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ellen Corby,"Waltons, The",FALSE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julie Kavner,Rhoda,FALSE
1976,1977,34,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Vicki Lawrence,"Carol Burnett Show, The",FALSE
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ed Asner,"Rich Man, Poor Man",TRUE
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rob Reiner,All In The Family,FALSE
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tim Conway,"Carol Burnett Show, The",FALSE
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Charles Durning,Captains and the Kings,FALSE
1976,1977,34,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gavin MacLeod,"Mary Tyler Moore Show, The",FALSE
1976,1977,34,Cecil B. deMille Award,Walter Mirisch,,FALSE
1976,1977,34,New Star Of The Year - Actress,Jessica Lange,,TRUE
1976,1977,34,New Star Of The Year - Actress,Gladys Knight,Pipe Dreams,FALSE
1976,1977,34,New Star Of The Year - Actress,Andrea Marcovicci,"Front, The",FALSE
1976,1977,34,New Star Of The Year - Actress,Melinda Dillon,Bound for Glory,FALSE
1976,1977,34,New Star Of The Year - Actress,Mariel Hemingway,Lipstick,FALSE
1976,1977,34,New Star Of The Year - Actor,Arnold Schwarzenegger,Stay Hungry,TRUE
1976,1977,34,New Star Of The Year - Actor,Lenny Baker,"Next Stop, Greenwich Village",FALSE
1976,1977,34,New Star Of The Year - Actor,Truman Capote,Murder by Death,FALSE
1976,1977,34,New Star Of The Year - Actor,Jonathan Kahn,"Sailor Who Fell From Grace With The Sea, The",FALSE
1976,1977,34,New Star Of The Year - Actor,Harvey Stephens,"Omen, The",FALSE
1976,1977,34,Television Movie,Eleanor and Franklin,,TRUE
1976,1977,34,Television Movie,Francis Gary Powers: The True Story Of The U-2 Incident,,FALSE
1976,1977,34,Television Movie,I Want To Keep My Baby,,FALSE
1976,1977,34,Television Movie,"Lindbergh Kidnapping Case, The",,FALSE
1976,1977,34,Television Movie,Sybil,,FALSE
1976,1977,34,Television Movie,Amelia Earhart,,FALSE
1976,1977,34,Henrietta Award (World Film Favorites),Sophia Loren,,TRUE
1976,1977,34,Henrietta Award (World Film Favorites),Robert Redford,,TRUE
1976,1977,34,Documentary,Altars of the World,,TRUE
1976,1977,34,Documentary,"Memory of Justice, The",,FALSE
1976,1977,34,Documentary,People of the Wind,,FALSE
1976,1977,34,Documentary,"That's Entertainment, Part 2",,FALSE
1976,1977,34,Documentary,Wings of an Eagle,,FALSE
1977,1978,35,Best Motion Picture - Drama,"Turning Point, The",,TRUE
1977,1978,35,Best Motion Picture - Drama,Close Encounters of the Third Kind,,FALSE
1977,1978,35,Best Motion Picture - Drama,I Never Promised You a Rose Garden,,FALSE
1977,1978,35,Best Motion Picture - Drama,Julia,,FALSE
1977,1978,35,Best Motion Picture - Drama,Star Wars: Episode IV - A New Hope,,FALSE
1977,1978,35,Best Motion Picture - Musical or Comedy,"Goodbye Girl, The",,TRUE
1977,1978,35,Best Motion Picture - Musical or Comedy,Annie Hall,,FALSE
1977,1978,35,Best Motion Picture - Musical or Comedy,High Anxiety,,FALSE
1977,1978,35,Best Motion Picture - Musical or Comedy,"New York, New York",,FALSE
1977,1978,35,Best Motion Picture - Musical or Comedy,Saturday Night Fever,,FALSE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Julia,TRUE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Anne Bancroft,"Turning Point, The",FALSE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Diane Keaton,Looking For Mr. Goodbar,FALSE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Kathleen Quinlan,I Never Promised You a Rose Garden,FALSE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,Opening Night,FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Equus,TRUE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Henry Winkler,Heroes,FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Marcello Mastroianni,"Special Day, A",FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Bobby Deerfield,FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,MacArthur,FALSE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Annie Hall,TRUE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marsha Mason,"Goodbye Girl, The",TRUE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Field,Smokey and The Bandit,FALSE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,"New York, New York",FALSE
1977,1978,35,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lily Tomlin,"Late Show, The",FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Dreyfuss,"Goodbye Girl, The",TRUE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Saturday Night Fever,FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Woody Allen,Annie Hall,FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Brooks,High Anxiety,FALSE
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert De Niro,"New York, New York",FALSE
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Vanessa Redgrave,Julia,TRUE
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ann-Margret,Joseph Andrews,FALSE
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Blondell,Opening Night,FALSE
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Leslie Browne,"Turning Point, The",FALSE
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Quinn Cummings,"Goodbye Girl, The",FALSE
1977,1978,35,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lilia Skala,Roseland,FALSE
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Firth,Equus,TRUE
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Maximilian Schell,Julia,FALSE
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mikhail Baryshnikov,"Turning Point, The",FALSE
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Alec Guinness,Star Wars: Episode IV - A New Hope,FALSE
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,Julia,FALSE
1977,1978,35,Best Director - Motion Picture,Herbert Ross,"Turning Point, The",TRUE
1977,1978,35,Best Director - Motion Picture,Woody Allen,Annie Hall,FALSE
1977,1978,35,Best Director - Motion Picture,George Lucas,Star Wars: Episode IV - A New Hope,FALSE
1977,1978,35,Best Director - Motion Picture,Steven Spielberg,Close Encounters of the Third Kind,FALSE
1977,1978,35,Best Director - Motion Picture,Fred Zinnemann,Julia,FALSE
1977,1978,35,Best Screenplay - Motion Picture,Neil Simon,"Goodbye Girl, The",TRUE
1977,1978,35,Best Screenplay - Motion Picture,Woody Allen,Annie Hall,FALSE
1977,1978,35,Best Screenplay - Motion Picture,Steven Spielberg,Close Encounters of the Third Kind,FALSE
1977,1978,35,Best Screenplay - Motion Picture,Alvin Sargent,Julia,FALSE
1977,1978,35,Best Screenplay - Motion Picture,Arthur Laurents,"Turning Point, The",FALSE
1977,1978,35,Best Motion Picture - Foreign Language,"Special Day, A","Italy, Ettore Scola",TRUE
1977,1978,35,Best Motion Picture - Foreign Language,Pardon Mon Affaire,"France, Yves Robert",FALSE
1977,1978,35,Best Motion Picture - Foreign Language,That Obscure Object of Desire,"France, Luis Buñuel",FALSE
1977,1978,35,Best Motion Picture - Foreign Language,Cría Cuervos,"Spain, Carlos Saura",FALSE
1977,1978,35,Best Motion Picture - Foreign Language,Madame Rosa,"France, Moshé Mizrahi",FALSE
1977,1978,35,Best Original Score - Motion Picture,John Williams,Star Wars: Episode IV - A New Hope,TRUE
1977,1978,35,Best Original Score - Motion Picture,Joel Hirschhorn,Pete's Dragon,FALSE
1977,1978,35,Best Original Score - Motion Picture,Barry Gibb,Saturday Night Fever,FALSE
1977,1978,35,Best Original Score - Motion Picture,Marvin Hamlisch,"Spy Who Loved Me, The",FALSE
1977,1978,35,Best Original Score - Motion Picture,John Williams,Close Encounters of the Third Kind,FALSE
1977,1978,35,Best Original Song - Motion Picture,"You Light Up My Life, Joseph Brooks",You Light Up My Life,TRUE
1977,1978,35,Best Original Song - Motion Picture,"Nobody Does It Better, Marvin Hamlisch, Carole Bayer Sager","Spy Who Loved Me, The",FALSE
1977,1978,35,Best Original Song - Motion Picture,"Deep Down Inside, John Barry","Deep, The",FALSE
1977,1978,35,Best Original Song - Motion Picture,"How Deep Is Your Love?, Barry Gibb, Robin Gibb, Maurice Gibb, The Bee Gees",Saturday Night Fever,FALSE
1977,1978,35,Best Original Song - Motion Picture,"New York, New York, John Kander, Fred Ebb","New York, New York",FALSE
1977,1978,35,Best Television Series - Drama,Roots,,TRUE
1977,1978,35,Best Television Series - Drama,Charlie's Angels,,FALSE
1977,1978,35,Best Television Series - Drama,Columbo,,FALSE
1977,1978,35,Best Television Series - Drama,Family,,FALSE
1977,1978,35,Best Television Series - Drama,Starsky & Hutch,,FALSE
1977,1978,35,Best Television Series - Drama,Upstairs/Downstairs,,FALSE
1977,1978,35,Best Television Series - Musical or Comedy,All In The Family,,TRUE
1977,1978,35,Best Television Series - Musical or Comedy,Laverne & Shirley,,FALSE
1977,1978,35,Best Television Series - Musical or Comedy,Barney Miller,,FALSE
1977,1978,35,Best Television Series - Musical or Comedy,"Carol Burnett Show, The",,FALSE
1977,1978,35,Best Television Series - Musical or Comedy,Happy Days,,FALSE
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Lesley Ann Warren,79 Park Avenue,TRUE
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Angie Dickinson,Police Woman,FALSE
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Kate Jackson,Charlie's Angels,FALSE
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Leslie Uggams,Roots,FALSE
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Lindsay Wagner,"Bionic Woman, The",FALSE
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Ed Asner,Lou Grant,TRUE
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Telly Savalas,Kojak,FALSE
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Robert Conrad,Baa Baa Black Sheep,FALSE
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,Peter Falk,Columbo,FALSE
1977,1978,35,Best Performance by an Actor In A Television Series - Drama,James Garner,"Rockford Files, The",FALSE
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",TRUE
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,Maude,FALSE
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Penny Marshall,Laverne & Shirley,FALSE
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Isabel Sanford,"Jeffersons, The",FALSE
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Stapleton,All In The Family,FALSE
1977,1978,35,Best Performance by an Actress in a Television Series - Musical or Comedy,Cindy Williams,Laverne & Shirley,FALSE
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Ron Howard,Happy Days,TRUE
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Henry Winkler,Happy Days,TRUE
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Carroll O'Connor,All In The Family,FALSE
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),FALSE
1977,1978,35,Best Performance by an Actor in a Television Series - Musical or Comedy,Hal Linden,Barney Miller,FALSE
1977,1978,35,Cecil B. deMille Award,Red Skelton,,FALSE
1977,1978,35,Television Movie,Raid on Entebbe,,TRUE
1977,1978,35,Television Movie,Mary Jane Harper Cried Last Night,,FALSE
1977,1978,35,Television Movie,Mary White,,FALSE
1977,1978,35,Television Movie,Something For Joey,,FALSE
1977,1978,35,Television Movie,Just a Little Inconvenience,,FALSE
1977,1978,35,Henrietta Award (World Film Favorites),Robert Redford,,TRUE
1977,1978,35,Henrietta Award (World Film Favorites),Barbra Streisand,,TRUE
1978,1979,36,Best Motion Picture - Drama,Midnight Express,,TRUE
1978,1979,36,Best Motion Picture - Drama,Coming Home,,FALSE
1978,1979,36,Best Motion Picture - Drama,Days of Heaven,,FALSE
1978,1979,36,Best Motion Picture - Drama,"Deer Hunter, The",,FALSE
1978,1979,36,Best Motion Picture - Drama,"Unmarried Woman, An",,FALSE
1978,1979,36,Best Motion Picture - Musical or Comedy,Heaven Can Wait,,TRUE
1978,1979,36,Best Motion Picture - Musical or Comedy,Foul Play,,FALSE
1978,1979,36,Best Motion Picture - Musical or Comedy,Grease,,FALSE
1978,1979,36,Best Motion Picture - Musical or Comedy,Movie Movie,,FALSE
1978,1979,36,Best Motion Picture - Musical or Comedy,California Suite,,FALSE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Coming Home,TRUE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Jill Clayburgh,"Unmarried Woman, An",FALSE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,Stevie,FALSE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Interiors,FALSE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,Autumn Sonata,FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Jon Voight,Coming Home,TRUE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Brad Davis,Midnight Express,FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,"Deer Hunter, The",FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,Magic,FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,"Boys From Brazil, The",FALSE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Burstyn,"Same Time, Next Year",TRUE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Smith,California Suite,TRUE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jacqueline Bisset,Who Is Killing The Great Chefs of Europe?,FALSE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Foul Play,FALSE
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Newton-John,Grease,FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Heaven Can Wait,TRUE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Alan Alda,"Same Time, Next Year",FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gary Busey,"Buddy Holly Story, The",FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chevy Chase,Foul Play,FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George C. Scott,Movie Movie,FALSE
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Grease,FALSE
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dyan Cannon,Heaven Can Wait,TRUE
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mona Washbourne,Stevie,FALSE
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Carol Burnett,"Wedding, A",FALSE
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Interiors,FALSE
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,"Deer Hunter, The",FALSE
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Hurt,Midnight Express,TRUE
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bruce Dern,Coming Home,FALSE
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dudley Moore,Foul Play,FALSE
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Morley,Who Is Killing The Great Chefs of Europe?,FALSE
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christopher Walken,"Deer Hunter, The",FALSE
1978,1979,36,Best Director - Motion Picture,Michael Cimino,"Deer Hunter, The",TRUE
1978,1979,36,Best Director - Motion Picture,Woody Allen,Interiors,FALSE
1978,1979,36,Best Director - Motion Picture,Hal Ashby,Coming Home,FALSE
1978,1979,36,Best Director - Motion Picture,Terrence Malick,Days of Heaven,FALSE
1978,1979,36,Best Director - Motion Picture,Paul Mazursky,"Unmarried Woman, An",FALSE
1978,1979,36,Best Director - Motion Picture,Alan Parker,Midnight Express,FALSE
1978,1979,36,Best Screenplay - Motion Picture,Oliver Stone,Midnight Express,TRUE
1978,1979,36,Best Screenplay - Motion Picture,Robert C. Jones,Coming Home,FALSE
1978,1979,36,Best Screenplay - Motion Picture,Deric Washburn,"Deer Hunter, The",FALSE
1978,1979,36,Best Screenplay - Motion Picture,Colin Higgins,Foul Play,FALSE
1978,1979,36,Best Screenplay - Motion Picture,Woody Allen,Interiors,FALSE
1978,1979,36,Best Screenplay - Motion Picture,Paul Mazursky,"Unmarried Woman, An",FALSE
1978,1979,36,Best Motion Picture - Foreign Language,Autumn Sonata,"Sweden, Ingmar Bergman",TRUE
1978,1979,36,Best Motion Picture - Foreign Language,"Dream of Passion, A","Greece, Jules Dassin",FALSE
1978,1979,36,Best Motion Picture - Foreign Language,Get Out Your Handkerchiefs,"France, Bertrand Blier",FALSE
1978,1979,36,Best Motion Picture - Foreign Language,Lemon Popsicle,"Israel, Boaz Davidson",FALSE
1978,1979,36,Best Motion Picture - Foreign Language,Death on the Nile,"United Kingdom, John Guillermin",FALSE
1978,1979,36,Best Motion Picture - Foreign Language,Dona Flor and Her Two Husbands,"Brazil, Bruno Barreto",FALSE
1978,1979,36,Best Original Score - Motion Picture,Giorgio Moroder,Midnight Express,TRUE
1978,1979,36,Best Original Score - Motion Picture,John Williams,Superman,FALSE
1978,1979,36,Best Original Score - Motion Picture,Bill Conti,"Unmarried Woman, An",FALSE
1978,1979,36,Best Original Score - Motion Picture,Chuck Mangione,"Children of Sanchez, The",FALSE
1978,1979,36,Best Original Score - Motion Picture,Leonard Rosenman,"Lord of the Rings, The",FALSE
1978,1979,36,Best Original Song - Motion Picture,"Last Dance, Alec Constandinos",Thank God It's Friday,TRUE
1978,1979,36,Best Original Song - Motion Picture,"Grease, Barry Gibb",Grease,FALSE
